MJD,PLATE,FIBERID,z,VDISP,VDISP_ERR,mag_u,mag_g,mag_r,mag_i,mag_z,flux_u,flux_g,flux_r,flux_i,flux_z,flux_y,flux_w1,o21,o21_err,o22,o22_err,hb,hb_err,o3,o3_err,o1,o1_err,ha,ha_err,n2,n2_err,s21,s21_err,s22,s22_err,sigma_o3,sigma_o3_err,sigma_hb,sigma_hb_err 
56396,6689,521,0.5210349,238.85135,42.11985,22.68464,21.909481,20.482994,19.531813,19.084427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.545107,5.3822,-8.078522,4.8380313,-0.3432457,0.725607,4.117077,2.5993087,-1.6115721,3.525404,1.7731657,2.3715854,7.794041,12.61981,25.955742,19.03204,-9.477627,15.573554,263.20938,45.72343,41.677444,12.885482
56396,6689,523,0.5213197,173.18701,28.84522,23.500982,22.08831,20.450481,19.649128,19.178684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9141798,3.8302674,7.956058,4.1283126,4.4470606,1.9234701,2.7442803,2.4406838,0.87352604,3.0911243,1.2957898,5.153319,2.2921362,10.426404,14.532147,16.852093,7.794516,14.446818,258.04755,58.399242,217.20445,51.398964
56396,6689,525,0.48719856,145.13255,34.3927,25.250431,22.420395,20.729904,19.91784,19.475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416169,0.69796705,1.1684693,0.6947837,2.1854038,1.8296611,-0.40502793,0.5687243,-2.289364,2.6392653,-0.0056295986,3.2565503,10.322131,8.374145,-0.11853338,2.076165,-0.45499325,8.253008,39.11997,11.186329,283.57803,74.99159
56396,6689,527,0.57172084,285.587,56.209595,24.370283,21.368147,19.715677,18.719551,18.16126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9259996,1.3333946,5.1953835,1.3095515,7.527345,2.7830012,2.0752842,1.5227821,5.8822117,2.6248891,33.850567,23.911345,-39.60401,15.859723,0.0,-2.0,0.0,-1.0,76.526245,11.219793,278.57883,97.13325
56396,6689,529,0.43347588,232.19804,32.26567,23.835287,21.90604,20.393414,19.475601,19.020761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106632,2.5025442,1.2011758,2.5160913,8.546894,1.8463522,1.3390422,1.5417321,1.5639606,2.0460038,15.366514,3.9089148,5.3242397,4.0494437,1.4806135,3.5688808,2.702532,3.0254502,236.75381,63.430984,269.6539,52.220657
56396,6689,531,0.5119896,200.65807,36.757336,24.550447,22.332014,20.48196,19.397976,18.865244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8243175,2.170408,4.0315695,2.2328057,-2.795941,1.449297,3.150769,1.9022889,9.071047,3.5645778,8.410057,4.423165,11.581442,10.713976,13.163027,11.619492,11.962387,12.360858,182.09052,38.428574,167.35127,57.50977
56396,6689,533,0.56203073,370.47168,61.36848,23.679394,22.355434,20.450558,19.302788,18.802166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046633,0.78593236,1.395501,0.8711207,-2.3212266,2.456383,-0.681987,1.8216939,-0.4931071,1.4793317,23.027054,14.558514,-39.868816,13.5063305,0.0,-2.0,0.0,-2.0,44.879654,10.776462,267.56097,96.62275
56396,6689,535,0.5628132,102.12028,41.387768,24.744267,22.571085,20.794754,19.728699,19.085613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6121656,1.0817353,1.7991563,1.1153375,-7.1879263,2.4708805,-4.2835026,1.6904,-1.2446504,2.3608909,33.641926,14.493595,-2.5678897,19.076714,0.0,-2.0,0.0,-2.0,66.443306,16.247358,225.05566,38.135983
56396,6689,537,0.5225569,189.74658,33.49913,22.780268,22.049616,20.322723,19.417696,19.104395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7170398,7.837968,8.611875,8.558015,6.262648,2.412347,-1.3389363,3.2671604,-5.1851263,5.455551,-5.1006045,10.566367,32.469208,12.962325,-3.4667125,24.319075,8.337582,21.65581,408.35812,109.29806,358.70654,92.50571
56396,6689,538,0.4559502,214.7427,22.217402,22.139582,20.851027,19.136778,18.517845,18.093288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.545277,35.435783,-40.50708,36.919365,-9.229037,2.16061,-8.935107,4.067415,1.3092226,9.842314,-12.241022,6.642654,9.691401,7.3672814,10.421814,14.04907,-16.65123,15.516637,754.1314,201.86778,305.54,35.556274
